Name;Grassroots organization;Location;Description;Website;Website2;lat;lng
FOREST AGROECOLOGY PROCESS OF THE KOK EDOI COMMUNITY;ASSEMBLY OF THE POOR (AOP);Bangkok, Thailand;The Kok Edoi Forest Agroecology Process is a Peasant-to-Peasant territorial training process. The Kok Edoi Community is one of several AOP experiences with grassroots expertise in sustainable collection of forest food products, propagation of forest food plant species, conservation of native seeds and forest food plant biodiversity, combined with agroecological farming for non-forest foods. They also have important work underway developing their own roadside market to sell forest food to nearby villages and urban centers. ;https://viacampesina.org/en/assembly-of-the-poor-aop/;;13,7567653;100,5017919
INTEGRATED FARMING GROUP OF NA TAE KUEM YAI;ASSEMBLY OF THE POOR (AOP);Thailand;The AOP Integrated Agriculture Community Learning Center produces several training handbooks to promote and defend peasant agroecology. The training materials include courses on soil health and protection, organic fertilizer production, integrated agroecosystem management, among others.;https://viacampesina.org/en/assembly-of-the-poor-aop/;;13.0451489;101.3513646
MOKATIL AGROECOLOGY PROCESS;MOVIMENTU KAMPONEZES TIMOR LESTE (MOKATIL);Díli, Timor Lester;"MOKATIL operates short, informal and community-based trainings on the principles of agroecology of ""Permanent Agriculture"". The training highlights the use of readily available on-farm natural resources to peasants, the minimizing of disturbance to natural recourses by planning permanent production systems that rotate crops, intercrop plants, and reduces ecosystem damage. They also train on the production of natural compost fertilizers, integrated soil preparation in accordance with topography of land and agroecosystem health. MOKATIL uses demonstration plots of integrated agroecosystems to engage a significant amount of their membership in their territorial agroecology process.";https://viacampesina.org/en/movimentu-kamponezes-timor-leste-mokatil/;;-8.549766;125.568025
PUSDIKLAT PEASANT TRAINING CENTER;SERIKAT PETANI INDONESIA (SPI);Indonesia;SPI has established its own curriculum for educating and training its members. There are three main topics in the curriculum: sustainable agriculture, economic viability, and organizational issues. PUSDIKLAT provides in-class and out-of-class sessions, with the former used for discussing agroecological principles, entrepreneurship, and organizational issues and the latter used for demonstrating agroecological practices. Each out-of-class session is held on a farmer’s land. When demonstrating new agroecological practices, the farmer usually allots a small portion (approximately 300m2) of the land for use and demonstration. After the agroecological practices have been demonstrated, participants discuss the advantages and disadvantages of these practices. Indonesia's Lampung, Aceh, Central Java, Yogya Karta, and other regions now practice agroecological farming with organic fertilizer, permaculture, water conservation, seed banks, cooperatives, farmer-to-farmer exchanges, and livestock all forming part of the agroecological model.;http://www.spi.or.id/;;-6.1766048;106.8195787
VNFU AGROECOLOGY PROCESS;VIETNAM NATIONAL FARMERS UNION (VNFU);Ho Chi Minh, Vietnam;The VNFU is developing models of agroecology in the countryside which go hand-in-hand with efforts of many rural Vietnamese cooperatives. They carry out training activities promoting local knowledge from indigenous people, creating wider connections and networks of farmers and other social organizations that engage with women and youth. Training, experience sharing, and field work are all part of training strategies. VNFU holds peasant-to-peasant forums and engages with media to promote agroecological ideas. Training is both direct and indirect. In the former, farmers are directly trained in classrooms or fields. In the latter, they carry out training of trainers who then train other farmers.;http://vietnamfarmerunion.vn/SitePages/TrangChu.aspx;;10.8229056;106.6250643
CNOP-CONGO AGROECOLOGY PROCESS;CONCERTATION NATIONALE DES ORGANISATIONS PAYSANNES ET DES PRODUCTEURS AGRICOLES DU CONGO (CNOP-CONGO);Ibéa, Republic of the Congo;Trainings on soil fertility, production of organic soil regeneration and the use of native plant varieties.;https://viacampesina.org/en/concertation-nationale-organisations-paysannes-producteurs-agricoles-congo-cnop-congo/;;-0,6164478;15,7466786
ECASARD´S TRAINNING SCHOOL;ECUMENICAL ASSOCIATION FOR SUSTAINABLE AGRICULTURE AND RURAL DEVELOPMENT (ECASARD);Accra, Ghana;Territorial peasant-to-peasant trainings on agroecology, food sovereignty, and mass mobilization for pro-peasant public policies.;www.ecasardghana.org;;7,8984806;-3,2743702
THE MOZAMBIQUE PEASANT SCHOOL;UNIÃO NACIONAL DE CAMPONESES (UNAC);Maputo, Mozambique;Organizing the School's 6.5 hectares into four parcels [(i) farm and garden, (ii) forest, (iii) facilities, (iv) leisure areas] and applying their own peasant-to-peasant methodology and training manual, UNAC has facilitated on-site exchanges on everything from crop rotation, polycultures, agroforestry, and animal incorporation to peasant seed systems, community-control over decision-making, and the struggle against land grabbing. Over 1,200 agroecology promoters have been trained during the open and ongoing cycle of learning that encourages promoters to activate agroecology in their provinces, scale out the experience, and return to the School for further dialogue with others.';www.unac.org.mz;;-25.9704771;32.5811714
WINDITAN AGROECOLOGY TRAINING CENTER;PLATEFORME PAYSANNE DU NIGER (PFPN);Niamey, Niger;With 15 hectares of arable land, meeting rooms with capacity of 150 participants, a dining hall and dormitories, the Center is one of most important formal training school for LVC in Africa. . Its priority: training women, youth, and others to multiply peasant agroecology experiences in order to contribute to food sovereignty across the country. Training includes the fundamentals of ecology, biology, and endogenous animal and plant breeding, intercropping and agrosilvopastoral systems, fishing techniques and management of ponds, water harvesting and drip irrigation, food processing and marketing, as well as popular education facilitation techniques. To date, the Center has trained some 3,000 participants, many of which have become active promoters of peasant agroecology across rural Niger.';https://viacampesina.org/en/plateforme-paysanne-niger-pfpn/;;13,5127664;2,0840132
TANZANIAN PEASANT LEADERSHIP TRAININGS;MTANDAO WA VIKUNDI VYA WAKULIMA TANZANIA (MVIWATA);Tanzania;Tanzania's National Network of Tanzanian Farmers' Groups (MVIWATA) holds ongoing ''Leadership Trainings'' that include content on peasant seed systems, crop rotation and soil protection practices. Participants in these trainings go on to defend the economic, social, cultural and political interests of Tanzanian peasants in the organization's diverse advocacy efforts.';https://www.mviwata.org/ ;;-6.1751325;35.7451952
COPACO-PRP CAPACITY TRAINING PROCESS;CONFÉDÉRATION PAYSANNE DU CONGO (COPACO-PRP);Shopo, Democratic Republic of the Congo;Education and training efforts of the Confédération Paysanne du Congo (COPACO-PRP) focus on developing the capacity of the members – together with allied lawyers and advocates - to defend the rights of peasants in a context of climate change, exclusionary environmental “reserve” policies of the national government, and forced displacements caused by regional conflict. The right to food sovereignty, as well as territorial control over, land, water, and other natural resources is at the heart of their trainings.;https://viacampesina.org/en/confederation-paysanne-congo-copacoprp/;;-3,2834215;23,6666088
'THE ''ACTIVIST SCHOOLS'' OF SOUTH AFRICA';'LANDLESS PEOPLES'' MOVEMENT (LPM) AND AGRARIAN REFORM FOR FOOD SOVEREIGNTY CAMPAIGN (FSC)';Pretoria, South Africa;The LPM-FSC ''Activist Schools'' aim at developing cadre to promote food sovereignty as part of an inclusive post-Apartheid South Africa. They use self-developed texts for popular education, land occupation, and peasant agroecology promotion including “Advancing Food Sovereignty through Seed Saving: An Activist Guide” and the “Peoples'' Food Sovereignty Act”.';https://viacampesina.org/en/landless-peoples-movement-lpm/;;-25,7452733;28,2271213
THE YOUTH AGROECOLOGY PROCESS OF CNCR-SENEGAL;CONSEIL NATIONAL DE CONCERTATION ET DE COOPERATION DES RURAUX (CNCR);Dakar, Senegal;Senegal's Conseil National de Concertation et de Cooperation des Ruraux (CNCR) uses their own agroecological training manuals and organizational position statements in youth trainings nationwide. In collaboration with allies at the Fédération Nationale pour l''Agriculture Biologique (FENAB), CNCR youth are encouraged to become peasant agroecology promoters (animateurs) who activate rural communities for local food production, distribution, and consumption.';http://www.cncr.org/;;14,476273;-15,6380874
"CENTRO INTEGRAL ""NICETO PÉREZ GARCÍA""";ASOCIACIÓN NACIONAL DE AGRICULTORES PEQUEÑOS (ANAP);Güira de Melena, Cuba;Training space for the expanding agroecological peasant agriculture focused on territorial training and the Peasant-to-Peasant method. Headquarters of multiple events and international forums in favor of Food Sovereignty based in agroecological peasant agriculture.;http://www.revista.anap.cu/;;22,7952146;-82,5146453
UNIVERSIDAD CAMPESINA - SISTEMAS UNIVERSITARIOS RURALES INDOCAMPESINOS (UNICAM – SURI);MOVIMIENTO NACIONAL CAMPESINO INDÍGENA (MNCI);Santiago del Estero, Argentina;UNICAM SURI (Universidad Campesina - Sistemas Rurales Indocampesinos) is in Santiago del Estero - Argentina) and was started in the mountains, with the needs of comrades of the Movement to generate a place for meetings and to build tools for analysis and to transform the reality in the territories, in the communities. A space where peasants, indigenous people, urban and rural workers exercise the right to training that allows not only to recover and vindicate their culture, but also to work to educate from another perspectives so that workers are not marginalized - as receivers of a foreign culture - but as active subjects of the collective construction of a new education and a new world. UNICAM SURI has a space for animal and vegetable production for self-sustenance and also for exchange learning with nearby peasant communities. There is also a children's space dedicated to the care and pedagogical process of children, a community radio station FM Suri Manta - 89.9, a kitchen and a construction space dedicated to completing the building works, such as cisterns, classrooms and bedrooms.;http://www.mocase.org.ar/secciones/universidad-campesina;;-29,5202983;-63,7470917
ESCUELA NACIONAL AGROECOLÓGICO;MOVIMIENTO NACIONAL CAMPESINO INDÍGENA (MNCI);Santiago del Estero, Argentina;Territorial training courses in agroecology and popular social economy.;https://www.facebook.com/MNCI.CLOC.VC/;;-27.7933208;-64.2773999
ESCUELA CAMPESINA DE AGROECOLOGÍA;UNIÓN DE TRABAJADORES RURALES SIN TIERRA (UST);Mendoza, Argentina;The Escuela Campesina de Agroecología (ECA) is an educational space managed by the Union of Landless Rural Workers (UST) where people teach and learn to value and cultivate peasant life, healthy food production, coexistence with nature, and the importance of local territory. The UST, as a member of the Movimiento Nacional Campesino Indígena (MNCI) and the Coordinadora Latinoamericana de Organizaciones del Campo (CLOC-VC), is deeply convinced that Agroecology is the just expression for producing food for the people in a sustainable way. In 2010, the organization promoted an adult secondary school with this specific orientation. The ECA is currently located in Jocolí de Lavalle and has 60 students from different rural areas of the province, ranging in age from 15 to 35 years. There has also been a struggle for higher education in the countryside, hence  the launch of  the Social and Popular Economy Technician training in 2016, which lasts three (3) years (with a cohort of 30 students in 2019) and the Elementary Education Training for Rural Teachers which lasts four (4) years (with a cohort of 79 students in 2019). In addition, the ECA is a space for political training where thematic seminars are developed. The struggle to exercise the right to public education has been and is a fundamental part of the transformation of a society. This is why ECA has generated the space and the pedagogical proposal that the organization has today. The proposal or initiative comes from the same peasant-indigenous communities, based on their experiences and concrete daily lives.;https://www.facebook.com/Escuela-Campesina-Agroecologia-Ust-129322770738297/;;-32.8894072;-68.8664252
ESCUELA NACIONAL FLORESTAN FERNANDES (ENFF);MOVIMENTO DOS TRABALHADORES RURAIS SEM TERRA (MST);Brasil;The Florestan Fernandes National School was founded by the MST as a school to educate and train its members and working class youths and adults from around the world. Coordinated by the Movement of Landless Rural Workers (MST), the school is in permanent physical, political and pedagogical construction. Over the years, it has become an international reference point, with teachers and students from many countries, especially those from Latin America, allowing a cultural exchange between movements from different places to discuss, learn and form joint initiatives on the political context faced by the working class. About 24 thousand people have attended courses, seminars and conferences at the school. The School also has partnerships with 35 universities, with which it offers higher education and specialization courses.;https://www.facebook.com/ENFFOficial/;;-22.9054629;-47.1004961
INSTITUTO EDUCAR;MOVIMENTO DOS TRABALHADORES RURAIS SEM TERRA (MST);Brasil;In 2010, the MST organization promoted an adult secondary school with this specific orientation. The ECA is currently located in Jocolí de Lavalle and has 60 students from different rural areas of the province, ranging in age from 15 to 35 years. There has also been a struggle for higher education in the countryside. In this journey we launched the Social and Popular Economy Technician training in 2016, which lasts three (3) years (with a cohort of 30 students in 2019) and the Elementary Education Training for Rural Teachers which lasts four (4) years (with a cohort of 79 students in 2019). In addition, the ECA is a space for political training where thematic seminars are developed.;http://www.mst.org.br/;;-28,0469583;-52,687481
ESCOLA MILTON SANTOS DE AGROECOLOGÍA (EMS);ASSOCIAÇÃO DE TRABALHADORES NA EDUCAÇÃO E PRODUÇÃO EM AGROECOLOGIA MILTON SANTOS (ATEMIS);Brasil;The Milton Santos School (EMS) is a Center for Education in Agroecology and Sustainable Development of the Popular Rural Social Movements created in 2002. It aims to establish itself as a Field Education Center in order to raise the level of political and cultural development and promote the education and training of rural youth and adults. It seeks to participate in the construction of a humanizing project of the people that enables the formation of social subjects building their own development of the countryside and the country committed to national sovereignty, with Agrarian Reform and other forms of deconcentration of income and property, with solidarity, with popular democracy and respect for the environment.;http://atemisems.wixsite.com/escolamiltonsantosvc;;-23,4362809;-51,9850929
PROCESOS AGROECOLOGICOS DO MOVIMENTO DE MULHERES CAMPONESAS (MMC);MOVIMENTO DE MULHERES CAMPONESAS (MMC);Brasilia - Distrito Federal, Brasil;The struggle to exercise the right to public education has been and is a fundamental part of the transformation of a society. This is why.;http://www.mmcbrasil.com.br/site/;;-15,7750837;-48,0772747
ESCUELA TOKI PELANTARO;ASAMBLEA MAPUCHE DE IZQUIERDA;Región de la Araucanía, Chile;We in the organization have generated the space and the pedagogical proposal that the ECA has today. This proposal arises from the same.;https://viacampesina.org/es/asamblea-nacional-mapuches-de-izquierda/;;-38.633464;-71.6567372
ESCUELA CAMPESINA AGROECOLÓGICA ORLANDO TRIANA MONCADA;ASOCIACIÓN CAMPESINA DEL VALLE DEL RÍO CIMITARRA (ACVC);Colombia;Peasant-indigenous communities, based on their experiences and concrete daily lives.;https://www.prensarural.org/spip/spip.php?rubrique7;;4.7073998;-74.0867497
"ESCUELA NACIONAL DE FORMACIÓN ""OLIGARCAS TEMBLAD""";CORRIENTE REVOLUCIONARIA BOLIVAR Y ZAMORA (CRBZ);Venezuela;Popular education for peasant leadership with courses on the History of Venezuela, Struggles for Food Sovereignty, Agroecology and Agrarian Reform, Communal Governance, People’s Power, Political Economy, the Praxis of Simon Bolivar and Karl Marx, etc.';http://www.crbz.org/;;10.4711879;-66.8976915
INSTITUTO DE AGROECOLOGIA LATINO AMERICANO AMAZÔNICO – IALA AMAZÔNICO;CLOC VIA CAMPESINA;Brasil;IALA Amazônico proposes to articulate rural people as subjects that live out processes of struggle and resistance in the Pan Amazon, seeks to articulate universities, researchers, social movements and peasants to carry out training processes, schooling and exchanges of agricultural experiences with an emphasis on the principles of agroecology, and to produce new knowledges through a process of reformulation of curricula and course methodologies, prioritizing dialogue between the diversity of experiences and subjects and, fundamentally, having reality as a locus of research for transformation.;http://ialaamazonico.blogspot.com/;;-5.9609752;-50.2387058
INSTITUTO AGROECOLÓGICO LATINOAMERICANO MESOAMÉRICA - IALA IXIM ULEW;CLOC VIA CAMPESINA;Nicaragua;IALA Mesoamerica is made up a system of schools of training in Nicaragua that have historically contributed to technical and political training for agrarian sector organizations which organize both rural workers and small producers. These training schools utilize popular education methodology, making the experiences and wisdom of each learner and the communities from which they come from a central part of the educational process through the ''diálogo de saberes''. While learning agroecological production is an important part of IALA Mesoamérica, so too is gaining a solid political education including understanding histories and structures of capitalism, colonialism, imperialism, and patriarchy. A paired strategy with IALA Mesoamerica is the Agroecological Corridor, which focuses on using the proven peasant-to-peasant method to rapidly share and spread agroecological knowledge in the territories between schools.;https://www.facebook.com/atc.nicaragua/;;12.1240551;-86.2675999
INSTITUTO AGROECOLÓGICO LATINOAMERICANO MARÍA CANO - IALA MARÍA CANO;CLOC VIA CAMPESINA;Colombia;IALA María Cano aims to train young peasants, indigenous and afro-descendant members of CLOC-Colombia’s numerous peasant, indigenous and afro-descendent movements as Senior Technologists in Agroecology. These professionals will have a new ethos that contributes to the organizational strengthening of their communities of origin as well as the strengthening and promotion of agricultural and livestock production processes based on agroecology. The Institute serves as an epicenter of knowledge exchange in the peasant-to-peasant methodology of agroecological processes with the communities neighboring the training center and with the organizations that make up CLOC Via Campesina.;http://www.fensuagro.org/index.php/iala-colombia;;4.6545324;-74.0919954
INSTITUTO DE AGROECOLOGÍA DE LAS MUJERES DEL CAMPO - IALA DE LAS MUJERES;CLOC VIA CAMPESINA;Chile;"Under the slogan ""Sowers of Hope"", the IALA of Women calls on everyone involved in popular education and agroecology to unite the greatest number efforts to advance this Institute as a space of technical and political education which validates our peasant agricultural practices, our knowledge, and the struggles of the peasantry, encouraging hope and action for Food Sovereignty and the defense of Mother Earth. The IALA of Women incorporates a sociopolitical vision within the framework of Food Sovereignty and peasant and popular feminism so that in the medium and long term it can influence and impact agricultural production systems, including the social function of land, guaranteeing food of the greatest quality, and a diversified agriculture that combats climate change while achieving a committed peasant social fabric with greater youth participation and gender equity.";http://www.anamuri.cl/;;-34.1687445;-70.7294457
INSTITUTO AGROECOLÓGICO LATINOAMERICANO – IALA GUARANÍ;CLOC VIA CAMPESINA;Asunción, Paraguay;As a scientific, humanistic and democratic entity, IALA Guaraní is dedicated to the study, research and dissemination of peasant knowledge and culture, aimed at understanding our reality for social and economic transformation to benefit the majority sectors of the country and the region. The institute promotes the principles of Food Sovereignty, the conservation and multiplication of native seeds, the valorization of peasant agriculture and is dedicated to the search for new agricultural techniques friendly to the environment and favorable to quality of food - all within the framework of Latin American integration, internationalism and self-determination of all people.;https://ialaguarani.wordpress.com/;;-24,4704892;-55,7007694
PROVISION;EUROPEAN COORDINATION OF LA VIA CAMPESINA (ECVC);Romania;Provision is a small traditional family farm and learning center for agroecological peasant living and personal growth located in a rural village in Transylvania. It is dedicated to necessary simplicity and food sovereignty, adhere to the principles of peasant agroecology, permaculture and non-violence and strive towards a Transition Culture.;http://www.provisiontransylvania.com;;45.6402942;23.1567134
NORDBRUK;EUROPEAN COORDINATION OF LA VIA CAMPESINA (ECVC);Norway;NordBruk is a small producers’ organization in Sweden. It fights for food sovereignty, a sustainable management of natural resources and human rights. The training is an accredited school granting formal certificates at a level lower than university but accessible to anyone. It is a government funded “peoples high school” course. The teaching approach and methods involve discussing and questioning the structures around farming. There will be hands-on and inclusive discussions on methods and ways to organize. It is a farmers-led education.;http://www.karlskogafolkhogskola.se;;59.9146699;10.7355971
AIAB - FIRAB;EUROPEAN COORDINATION OF LA VIA CAMPESINA (ECVC);Nápoles, Italy;FIRAB promotes applied research in low input farming through a participatory approach, and through farmer-to-farmer exchange too, and operates technical and scientific dissemination. FIRAB competencies range between agronomic and economic research in the field of organic and sustainable farming. The teaching is both frontal and experiential: ‘classical’ class teaching with PowerPoint and on-farm trainings.;http://www.firab.it/site/;;40.8724451;14.2480997
SCHOLA CAMPESINA;EUROPEAN COORDINATION OF LA VIA CAMPESINA (ECVC);Roma, Italy;Schola Campesina is an international training initiative directed to peasant’s organizations on food global governance promoting experience and knowledge sharing. The project seeks to bring together members of peasant organisations worldwide to share experiences and discuss issues related to global food and agriculture governance, peasant knowledge, peasant autonomy, agroecological practices, global peasant struggles, food policy, women empowerment, etc. Through horizontal dialogue, educator-learners and a “knowledge exchange” between farmers, scientists and activists, the training aims to develop participants’ knowledge and provide tools for knowledge capitalization and sharing. The objective is to bring benefits to peasant life and activities in order to strengthen peasant movements worldwide and to better achieve food sovereignty for all.;http://www.scholacampesina.org/;;41.9083628;12.4834146
FARM EXPERIENCE INTERNSHIP;EUROPEAN COORDINATION OF LA VIA CAMPESINA (ECVC);Belgium;The FEI is a growing movement co-created by peasants, farmers, gardeners, scientists, students, activists, NGOs and agroecological companies – working together towards a sustainable, healthy, viable food system that is fair and just for the earth, the consumer and the producer.;https://farmexperienceinternship.wordpress.com/;;50.8885816;4.3612625
'L''ATELIER PAYSAN';EUROPEAN COORDINATION OF LA VIA CAMPESINA (ECVC);France;We are a French-speaking collective of small-scale farmers, employees and agricultural development organisations, gathered together as a cooperative named l’Atelier Paysan, a tool box of farmer-driven technologies and practices. Based on the principle that farmers are themselves are innovators, the collective has been collaboratively developing methods and practices to reclaim farming skills and achieve self-sufficiency in relation to the tools and machinery used in organic farming.;https://www.latelierpaysan.org/;;45.7978006;4.9475987
